"","site","lat","long","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type"
"64","Essington & Mingo",39.9013173,-75.225026,2023-08-09 10:09:00,2023-08-16 12:08:00,0.197,"REG",0.381,"REG",0.096,"REG",0.638,"REG",1.312,"REG",0.504,"REG",0.134,"REG",0.079,"REG",0.163,"REG",0.123,"REG",0.146,"REG",0.071,"REG",0.066,"REG",0.042,"REG",0.101,"REG",0.027,"LOD",0.055,"REG",0.021,"REG",0.057,"REG",0.046,"REG",0.02,"LOD",0.011,"LOD",0.025,"ND",0.049,"REG","stationary"
"65","61st & Passyunk",39.9182045,-75.208547,2023-08-09 10:19:00,2023-08-16 12:15:00,0.216,"REG",0.53,"REG",0.137,"REG",0.915,"REG",1.798,"REG",0.714,"REG",0.201,"REG",0.046,"REG",0.24,"REG",0.153,"REG",0.191,"REG",0.131,"REG",0.119,"REG",0.017,"REG",0.198,"REG",0.05,"REG",0.098,"REG",0.033,"REG",0.098,"REG",0.089,"REG",0.035,"REG",0.014,"LOD",0.136,"REG",0.076,"REG","stationary"
"66","28th & Passyunk",39.9206109,-75.195588,2023-08-09 10:23:00,2023-08-16 12:20:00,0.236,"REG",0.441,"REG",0.169,"REG",1.527,"REG",2.373,"REG",1.192,"REG",0.335,"REG",0.042,"REG",0.448,"REG",0.48,"REG",0.512,"REG",0.746,"REG",0.26,"REG",0.014,"REG",0.322,"REG",0.097,"REG",0.185,"REG",0.086,"REG",0.219,"REG",0.301,"REG",0.084,"REG",0.011,"LOD",0.335,"REG",0.187,"REG","stationary"
"67","24th & Ritner",39.9229639,-75.186874,2023-08-09 10:33:00,2023-08-16 12:22:00,0.249,"REG",0.501,"REG",0.121,"REG",0.825,"REG",1.696,"REG",0.65,"REG",0.175,"REG",0.067,"REG",0.215,"REG",0.153,"REG",0.191,"REG",0.161,"REG",0.101,"REG",0.011,"REG",0.14,"REG",0.043,"REG",0.082,"REG",0.033,"REG",0.098,"REG",0.084,"REG",0.031,"REG",0.014,"LOD",0.153,"REG",0.111,"REG","stationary"
"68","25th & Point Breeze",39.9277176,-75.187397,2023-08-09 10:41:00,2023-08-16 12:38:00,0.201,"REG",0.468,"REG",0.108,"REG",0.717,"REG",1.494,"REG",0.559,"REG",0.158,"REG",0.039,"REG",0.168,"REG",0.149,"REG",0.158,"REG",0.131,"REG",0.101,"REG",0.02,"REG",0.204,"REG",0.054,"REG",0.105,"REG",0.038,"REG",0.163,"REG",0.105,"REG",0.04,"REG",0.018,"REG",0.195,"REG",0.083,"REG","stationary"
"69","28th & Point Breeze",39.9262478,-75.192317,2023-08-09 10:47:00,2023-08-16 12:47:00,0.196,"REG",0.381,"REG",0.099,"REG",0.675,"REG",1.351,"REG",0.531,"REG",0.144,"REG",0.039,"REG",0.168,"REG",0.123,"REG",0.162,"REG",0.161,"REG",0.077,"REG",0.014,"REG",0.104,"REG",0.039,"REG",0.071,"REG",0.028,"REG",0.082,"REG",0.078,"REG",0.029,"REG",0.021,"REG",0.025,"ND",0.094,"REG","stationary"
"70","Tasker St",39.931447,-75.193386,2023-08-09 11:47:00,2023-08-16 13:01:00,0.193,"REG",0.364,"REG",0.09,"REG",0.593,"REG",1.24,"REG",0.465,"REG",0.128,"REG",0.04,"REG",0.139,"REG",0.094,"REG",0.126,"REG",0.109,"REG",0.082,"REG",0.014,"REG",0.116,"REG",0.031,"LOD",0.062,"REG",0.021,"REG",0.089,"REG",0.063,"REG",0.026,"REG",0.06,"REG",0.162,"REG",0.153,"REG","rotating"
"71","Morris & Point Breeze",39.9309466,-75.182994,2023-08-09 12:03:00,2023-08-16 13:12:00,0.229,"REG",0.456,"REG",0.115,"REG",0.73,"REG",1.53,"REG",0.575,"REG",0.155,"REG",0.04,"REG",0.177,"REG",0.102,"REG",0.134,"REG",0.102,"REG",0.074,"REG",0.014,"REG",0.113,"REG",0.039,"REG",0.078,"REG",0.028,"REG",0.129,"REG",0.073,"REG",0.031,"REG",0.032,"REG",0.273,"REG",0.281,"REG","stationary"
"72","Siena Place",39.9111825,-75.1885,2023-08-09 12:50:00,2023-08-16 13:28:00,0.165,"REG",0.282,"REG",0.074,"REG",0.472,"REG",0.993,"REG",0.373,"REG",0.099,"REG",0.038,"REG",0.125,"REG",0.079,"REG",0.123,"REG",0.112,"REG",0.066,"REG",0.013,"REG",0.086,"REG",0.036,"LOD",0.051,"REG",0.018,"LOD",0.079,"REG",0.048,"REG",0.024,"LOD",0.006,"ND",0.132,"REG",0.07,"REG","rotating"
"73","26th & Hartranft",39.9132713,-75.192201,2023-08-09 12:22:00,2023-08-16 13:33:00,0.213,"REG",0.394,"REG",0.138,"REG",0.874,"REG",1.619,"REG",0.689,"REG",0.185,"REG",0.027,"REG",0.22,"REG",0.188,"REG",0.283,"REG",0.297,"REG",0.181,"REG",0.014,"REG",0.278,"REG",0.105,"REG",0.148,"REG",0.055,"REG",0.489,"REG",0.137,"REG",0.066,"REG",0.006,"ND",1.016,"REG",0.876,"REG","stationary"
"74","Bartram’s Garden",39.92896,-75.212541,2023-08-16 11:50:00,2023-08-23 10:07:00,0.223,"REG",0.247,"REG",0.055,"REG",0.338,"REG",0.863,"REG",0.264,"REG",0.074,"REG",0.043,"REG",0.08,"REG",0.053,"REG",0.086,"REG",0.043,"LOD",0.163,"REG",0.013,"REG",0.245,"REG",0.018,"LOD",0.035,"LOD",0.014,"LOD",0.085,"REG",0.04,"REG",0.017,"LOD",0.022,"LOD",0.14,"REG",0.088,"REG","stationary"
"75","Essington & Mingo",39.9013173,-75.225026,2023-08-16 12:06:00,2023-08-23 10:31:00,0.267,"REG",0.392,"REG",0.085,"REG",0.57,"REG",1.314,"REG",0.449,"REG",0.121,"REG",0.038,"REG",0.14,"REG",0.093,"REG",0.093,"REG",0.067,"LOD",0.033,"REG",0.013,"REG",0.03,"REG",0.024,"LOD",0.052,"REG",0.018,"LOD",0.046,"LOD",0.049,"REG",0.024,"LOD",0.011,"LOD",0.08,"LOD",0.077,"REG","stationary"
"76","61st & Passyunk",39.9182045,-75.208547,2023-08-16 12:15:00,2023-08-23 10:41:00,0.305,"REG",0.652,"REG",0.165,"REG",1.101,"REG",2.223,"REG",0.864,"REG",0.237,"REG",0.038,"REG",0.247,"REG",0.167,"REG",0.19,"REG",0.161,"REG",0.096,"REG",0.031,"REG",0.116,"REG",0.055,"LOD",0.119,"REG",0.037,"REG",0.075,"REG",0.107,"REG",0.045,"REG",0.017,"LOD",0.127,"REG",0.077,"REG","stationary"
"77","28th & Passyunk",39.9206109,-75.195588,2023-08-16 12:21:00,2023-08-23 10:45:00,0.029,"REG",0.013,"REG",0.002,"ND",0.016,"REG",0.06,"REG",0.006,"LOD",0.01,"ND",0.001,"ND",0.002,"ND",0.01,"ND",0.009,"REG",0.019,"ND",0.029,"REG",0.001,"ND",0.064,"REG",0.015,"ND",0.011,"ND",0.008,"ND",0.016,"LOD",0.005,"ND",0.009,"ND",0.006,"ND",0.04,"LOD",0.028,"LOD","stationary"
"78","Siena Place",39.9111825,-75.1885,2023-08-16 13:26:00,2023-08-23 11:10:00,0.23,"REG",0.278,"REG",0.07,"REG",0.466,"REG",1.044,"REG",0.365,"REG",0.101,"REG",0.029,"REG",0.121,"REG",0.087,"REG",0.112,"REG",0.114,"REG",0.067,"REG",0.009,"REG",0.083,"REG",0.037,"LOD",0.049,"REG",0.018,"LOD",0.065,"REG",0.057,"REG",0.024,"LOD",0.011,"LOD",0.114,"REG",0.066,"REG","rotating"
"79","26th & Hartranft",39.9132713,-75.192201,2023-08-16 13:32:00,2023-08-23 11:18:00,0.331,"REG",0.389,"REG",0.126,"REG",0.84,"REG",1.686,"REG",0.66,"REG",0.18,"REG",0.043,"REG",0.248,"REG",0.194,"REG",0.255,"REG",0.351,"REG",0.163,"REG",0.009,"REG",0.284,"REG",0.091,"REG",0.137,"REG",0.052,"REG",0.468,"REG",0.149,"REG",0.066,"REG",0.006,"ND",1.019,"REG",0.865,"REG","stationary"
"80","Morris & Point Breeze",39.9309466,-75.182994,2023-08-16 13:10:00,2023-08-23 11:28:00,0.292,"REG",0.392,"REG",0.095,"REG",0.625,"REG",1.404,"REG",0.493,"REG",0.132,"REG",0.043,"REG",0.154,"REG",0.094,"REG",0.112,"REG",0.09,"REG",0.067,"REG",0.009,"REG",0.121,"REG",0.03,"LOD",0.066,"REG",0.026,"LOD",0.104,"REG",0.057,"REG",0.028,"LOD",0.033,"REG",0.241,"REG",0.234,"REG","stationary"
"81","25th & Point Breeze",39.9277176,-75.187397,2023-08-16 12:37:00,2023-08-23 11:32:00,0.248,"REG",0.395,"REG",0.09,"REG",0.581,"REG",1.314,"REG",0.455,"REG",0.126,"REG",0.033,"REG",0.126,"REG",0.126,"REG",0.131,"REG",0.09,"REG",0.079,"REG",0.009,"REG",0.12,"REG",0.03,"LOD",0.055,"REG",0.018,"LOD",0.08,"REG",0.057,"REG",0.024,"LOD",0.017,"LOD",0.126,"REG",0.076,"REG","stationary"
"82","28th & Point Breeze",39.9262478,-75.192317,2023-08-16 12:45:00,2023-08-23 11:40:00,0.297,"REG",0.582,"REG",0.15,"REG",0.948,"REG",1.977,"REG",0.748,"REG",0.2,"REG",0.038,"REG",0.18,"REG",0.126,"REG",0.189,"REG",0.137,"REG",0.32,"REG",0.013,"REG",0.458,"REG",0.042,"LOD",0.087,"REG",0.033,"REG",0.109,"REG",0.082,"REG",0.034,"LOD",0.033,"REG",0.166,"REG",0.12,"REG","stationary"
"83","Bus Depot on Snyder",39.9275926,-75.195061,2023-08-16 12:52:00,2023-08-23 11:44:00,0.266,"REG",0.361,"REG",0.09,"REG",0.589,"REG",1.306,"REG",0.463,"REG",0.126,"REG",0.033,"REG",0.127,"REG",0.093,"REG",0.112,"REG",0.09,"REG",0.058,"REG",0.013,"REG",0.092,"REG",0.03,"LOD",0.062,"REG",0.022,"LOD",0.075,"REG",0.065,"REG",0.024,"LOD",0.017,"LOD",0.107,"REG",0.055,"REG","rotating"
"84","Tasker St",39.931447,-75.193386,2023-08-16 13:00:00,2023-08-23 11:58:00,0.279,"REG",0.361,"REG",0.085,"REG",0.55,"REG",1.275,"REG",0.434,"REG",0.116,"REG",0.038,"REG",0.12,"REG",0.073,"REG",0.112,"REG",0.078,"REG",0.108,"REG",0.009,"REG",0.201,"REG",0.03,"LOD",0.055,"REG",0.026,"LOD",0.089,"REG",0.057,"REG",0.024,"LOD",0.033,"REG",0.18,"REG",0.152,"REG","rotating"
"85","Bus Depot on Snyder",39.9275926,-75.195061,2023-08-09 11:10:00,2023-08-16 12:54:00,0.21,"REG",0.451,"REG",0.113,"REG",0.754,"REG",1.528,"REG",0.591,"REG",0.163,"REG",0.042,"REG",0.183,"REG",0.121,"REG",0.195,"REG",0.158,"REG",0.17,"REG",0.013,"REG",0.343,"REG",0.042,"REG",0.08,"REG",0.031,"REG",0.129,"REG",0.08,"REG",0.03,"REG",0.019,"REG",0.18,"REG",0.11,"REG","rotating"
"86","Bartram’s Garden",39.92896,-75.212541,2023-08-23 10:09:00,2023-08-30 09:43:00,0.191,"REG",0.284,"REG",0.07,"REG",0.441,"REG",0.986,"REG",0.347,"REG",0.094,"REG",0.062,"REG",0.133,"REG",0.093,"REG",0.118,"REG",0.078,"REG",0.05,"REG",0.009,"REG",0.073,"REG",0.024,"LOD",0.041,"LOD",0.018,"LOD",0.065,"REG",0.048,"REG",0.021,"LOD",0.011,"LOD",0.099,"REG",0.065,"REG","stationary"
"87","Essington & Mingo",39.9013173,-75.225026,2023-08-23 10:31:00,2023-08-30 09:54:00,0.191,"REG",0.288,"REG",0.07,"REG",0.476,"REG",1.025,"REG",0.376,"REG",0.1,"REG",0.052,"REG",0.159,"REG",0.106,"REG",0.105,"REG",0.078,"REG",0.046,"REG",0.013,"REG",0.058,"REG",0.024,"LOD",0.038,"LOD",0.018,"LOD",0.045,"LOD",0.04,"REG",0.017,"LOD",0.006,"LOD",0.073,"LOD",0.039,"LOD","stationary"
"88","61st & Passyunk",39.9182045,-75.208547,2023-08-23 10:41:00,2023-08-30 10:01:00,0.197,"REG",0.335,"REG",0.09,"REG",0.621,"REG",1.243,"REG",0.49,"REG",0.131,"REG",0.062,"REG",0.173,"REG",0.133,"REG",0.144,"REG",0.125,"REG",0.054,"REG",0.009,"REG",0.058,"REG",0.03,"LOD",0.059,"REG",0.026,"LOD",0.06,"REG",0.073,"REG",0.024,"LOD",0.006,"LOD",0.08,"LOD",0.049,"LOD","stationary"
