"","site","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type","lat","long"
"27","Bartram’s Garden",1,2023-07-12 12:08:00,2023-07-19 12:41:00,0.326,"REG",0.562,"REG",0.106,"REG",0.835,"REG",1.829,"REG",0.649,"REG",0.186,"LOD",0.202,"REG",0.32,"REG",0.141,"LOD",0.208,"REG",0.165,"LOD",0.073,"LOD",0.031,"REG",0.049,"LOD",0.015,"ND",0.099,"LOD",0.027,"LOD",0.081,"LOD",0.118,"LOD",0.049,"LOD",0.039,"LOD",0.134,"LOD",0.101,"LOD","stationary","39.92896"," -75.212541"
"28","Essington & Mingo",2,2023-07-12 12:24:00,2023-07-19 12:57:00,0.37,"REG",0.592,"REG",0.141,"REG",0.886,"REG",1.989,"REG",0.7,"REG",0.186,"LOD",0.202,"REG",0.273,"REG",0.141,"LOD",0.163,"REG",0.165,"LOD",0.073,"LOD",0.001,"ND",0.015,"LOD",0.043,"LOD",0.074,"LOD",0.08,"LOD",0.081,"LOD",0.059,"LOD",0.024,"LOD",0.006,"ND",0.087,"LOD",0.062,"LOD","stationary","39.90131732"," -75.2250262"
"29","61st & Passyunk",3,2023-07-12 12:50:00,2023-07-19 13:05:00,0.371,"REG",0.683,"REG",0.142,"REG",1.114,"REG",2.31,"REG",0.853,"REG",0.261,"LOD",0.169,"REG",0.415,"REG",0.236,"LOD",0.3,"REG",0.249,"LOD",0.103,"LOD",0.031,"REG",0.083,"LOD",0.043,"LOD",0.124,"LOD",0.027,"LOD",0.115,"LOD",0.118,"LOD",0.049,"LOD",0.006,"ND",0.026,"ND",0.101,"LOD","stationary","39.91820446"," -75.2085474"
"30","28th & Passyunk",4,2023-07-12 13:01:00,2023-07-19 13:11:00,1.168,"REG",2.764,"REG",1.169,"REG",9.714,"REG",14.815,"REG",7.737,"REG",1.977,"REG",0.169,"REG",2.825,"REG",3.118,"REG",2.952,"REG",5.167,"REG",0.006,"ND",0.063,"REG",0.893,"REG",0.816,"REG",0.97,"REG",0.455,"REG",1.187,"REG",1.594,"REG",0.415,"REG",0.006,"ND",2.166,"REG",0.905,"REG","stationary","39.92061091"," -75.1955879"
"31","28th & Point Breeze",5,2023-07-12 13:47:00,2023-07-19 13:20:00,0.461,"REG",0.837,"REG",0.284,"REG",2.309,"REG",3.891,"REG",1.822,"REG",0.487,"REG",0.169,"REG",0.559,"REG",0.427,"REG",0.531,"REG",0.584,"REG",0.192,"REG",0.032,"REG",0.151,"LOD",0.129,"LOD",0.225,"LOD",0.107,"LOD",0.22,"LOD",0.356,"REG",0.098,"LOD",0.04,"LOD",0.372,"LOD",0.178,"LOD","stationary","39.92624784"," -75.1923165"
"32","25th & Point Breeze",6,2023-07-12 14:11:00,2023-07-19 13:30:00,0.417,"REG",0.778,"REG",0.178,"REG",1.551,"REG",2.924,"REG",1.214,"REG",0.337,"REG",0.203,"REG",0.417,"REG",0.285,"LOD",0.348,"REG",0.334,"LOD",0.163,"REG",0.032,"REG",0.117,"LOD",0.086,"LOD",0.125,"LOD",0.054,"LOD",0.151,"LOD",0.178,"REG",0.049,"LOD",0.04,"LOD",0.23,"LOD",0.14,"LOD","stationary","39.92771763"," -75.1873965"
"33","Morris & Point Breeze",7,2023-07-12 14:35:00,2023-07-19 13:37:00,0.418,"REG",0.688,"REG",0.178,"REG",1.363,"REG",2.647,"REG",1.063,"REG",0.3,"REG",0.17,"REG",0.418,"REG",0.238,"LOD",0.256,"REG",0.25,"LOD",0.103,"LOD",0.032,"REG",0.083,"LOD",0.043,"LOD",0.125,"LOD",0.054,"LOD",0.22,"LOD",0.178,"REG",0.049,"LOD",0.04,"LOD",0.468,"LOD",0.41,"LOD","stationary","39.93094655"," -75.1829941"
"34","24th & Ritner",8,2023-07-12 15:03:00,2023-07-19 13:48:00,0.597,"REG",0.993,"REG",0.286,"REG",2.32,"REG",4.196,"REG",1.831,"REG",0.489,"REG",0.001,"ND",0.657,"REG",0.429,"REG",0.579,"REG",0.587,"REG",0.252,"REG",0.032,"REG",0.288,"REG",0.13,"LOD",0.226,"LOD",0.081,"LOD",0.256,"LOD",0.298,"REG",0.099,"LOD",0.04,"LOD",0.421,"LOD",0.179,"LOD","stationary","39.92296389"," -75.186874"
"35","26th & Hartranft",9,2023-07-12 15:22:00,2023-07-19 14:00:00,0.464,"REG",0.599,"REG",0.143,"REG",1.124,"REG",2.33,"REG",0.861,"REG",0.263,"LOD",0.17,"REG",0.371,"REG",0.191,"LOD",0.257,"REG",0.251,"LOD",0.223,"REG",0.032,"REG",0.424,"REG",0.13,"LOD",0.226,"LOD",0.081,"LOD",0.744,"REG",0.238,"REG",0.099,"LOD",0.006,"ND",1.327,"REG",1.107,"REG","stationary","39.91327125"," -75.1922011"
"36","Bartram’s Garden",1,2023-07-19 12:42:00,2023-07-26 09:54:00,0.332,"REG",0.573,"REG",0.144,"REG",0.942,"REG",1.991,"REG",0.714,"REG",0.228,"LOD",0.206,"REG",0.278,"REG",0.144,"LOD",0.212,"REG",0.168,"LOD",0.044,"LOD",0.032,"REG",0.015,"LOD",0.044,"LOD",0.101,"LOD",0.027,"LOD",0.082,"LOD",0.12,"LOD",0.025,"LOD",0.08,"LOD",0.137,"LOD",0.064,"LOD","stationary","39.92896"," -75.212541"
